연번,시도,시군구,법인명,시설명,시설 주소,전화번호,팩스번호,이용자 정원,이용자 현원,종사자 정원
182,부산,수영구,로사사회봉사회,참누리 장애인주간보호시설,부산광역시 수영구 금련로43번길 54(망미동),051-755-3476,051-755-2268,18,15,3
183,부산,수영구,부산장애인부모회,지니장애인주간보호센터,부산광역시 수영구 연수로269번길 11(망미동),051-756-2332,051-756-2355,15,9,3
184,부산,수영구,개인,두드림주간보호센터,"부산광역시 수영구 망미번영로63번길 60, 1층(망미동)",051-756-0269,051-754-0269,15,15,4
185,부산,수영구,부산광역시 수영구장애인협회,수영구장애인주간보호센터,부산광역시 수영구 광남로 218-4(민락동),051-756-1595,051-757-0486,15,12,4
186,부산,수영구,한국뇌성마비 복지회 부산울산경남지사,해찬장애인주간보호센터,"부산광역시 수영구 망미로28번길 39, 102호(망미동, 성우빌라)",051-711-4255,051-761-5154,12,12,3
187,부산,연제구,부산장애인부모회,희망학교장애인주간보호센터,부산광역시 연제구 중앙천로73번길 15(연산동),051-864-3927,051-710-6120,15,10,3
188,부산,연제구,내원,부산광역시장애인종합복지관 주간보호센터,"부산광역시 연제구 중앙대로1150번길 15, 3층(연산동)",051-790-6156,051-868-3518,17,16,3
189,부산,영도구,남광사회복지회,어울림장애인주간보호센터,부산광역시 영도구 함지로79번길 76(동삼동),051-403-4200,051-404-6033,12,11,2
190,부산,영도구,대한예수교장로회총회 고려학원,해냄장애인주간보호센터,부산광역시 영도구 산정길 138(신선동3가),051-413-4661,051-413-6135,18,16,3
191,부산,영도구,한국재활재단,상리장애인주간보호센터,부산광역시 영도구 상리로 63-16(동삼동),051-404-5797,051-404-5062,15,12,2
192,부산,영도구,렘넌트,임마누엘장애인주간보호센터,"부산광역시 영도구 절영로490번길 55, 106호(동삼동,한창주택)",070-7206-4377,070-7159-1508,10,9,2
193,부산,영도구,대한예수교장로회총회 고려학원,영도장애인복지관 장애인주간보호센터,부산광역시 영도구 함지로79번길 6(동삼동),051-403-6060,051-403-6400,11,11,3
194,부산,중구,로사리오 카리타스,중구장애아동주간보호센터,부산광역시 중구 망양로 309(대청동4가),051-441-9224,051-468-1544,10,10,3
195,부산,중구,빛과소금복지재단,중구장애인주간보호시설,부산광역시 중구 초량상로5번길 20(영주동),051-466-9887,051-466-9886,10,8,3
196,부산,해운대구,부산YMCA,반송장애인 주간보호센터,부산광역시 해운대구 아랫반송로1번길 15(반송동),051-544-8050,051-544-3813,15,13,3
197,부산,해운대구,한결재단,반여장애인주간보호시설,부산광역시 해운대구 재반로226번길 13-73(반여동),051-784-0553,051-784-0556,20,17,3
198,부산,해운대구,홀트아동복지회,운봉장애인주간보호센터,부산광역시 해운대구 신반송로 200(반송동),051-543-3281,051-543-3282,15,14,4
199,부산,해운대구,장산복지,장산장애인주간보호센터,"부산광역시 해운대구 세실로27번길 19, 9층 (좌동) ",051-703-1668,,20,16,4
200,부산,해운대구,장산길,장산길장애인주간보호센터,"부산광역시 해운대구 신반송로 138-2, 201호(반송동)",051-545-4480,070-7543-7555,15,11,3
201,부산,해운대구,대성원,대성원(대성장애인주간보호센터),"부산광역시 해운대구 반여로55번길 35-55, 201호(반여동)",051-523-0028,070-8787-8822,20,11,3
202,대구,중구,대구남산복지재단,중구장애인주간보호센터,"대구광역시 중구 명륜로24길 9, 1층",053-425-7973,053-425-7973,12,12,3
203,대구,중구,대구서문복지재단,서문장애인주간보호센터,"대구광역시 중구 달성공원로 4길 30, 2층",053-554-1157,053-554-1140,15,15,3
204,대구,중구,대구서문복지재단,사랑장애인주간보호센터,"대구광역시 중구 달성공원로 4길 30, 3층",053-554-1136,053-554-1140,15,14,3
205,대구,중구,대구서문복지재단,샬롬장애인주간보호센터,"대구광역시 중구 명륜로21길 2, 4층",053-257-3800,053-257-3535,15,12,3
206,대구,중구,대구가톨릭사회복지회,카리타스시각장애인주간보호센터,대구광역시 중구 재마루1길 9-16,053-256-1120,053-257-1130,12,12,3
207,대구,동구,더불어복지재단,더불어장애인주간보호,대구시 동구 갓바위로35-7,053-982-0109,053-982-0209,21,21,4
208,대구,동구,한국SOS어린이마을,SOS복지센터,대구시 동구 해동로 219,053-985-3217,053-986-3215,25,25,5
209,대구,동구,아시아복지재단,동촌장애인주간보호센터,대구광역시 동구 입석로 5,053-983-8222,053-986-1100,20,21,4
210,대구,동구,사회복지법인 한사랑,한사랑주간보호센터,"대구광역시 동구 율하동로28길 30-1, 3층",053-943-0442,053-943-0447,20,20,4
211,대구,동구,한국운동재활복지협회,동구장애인사회재활센터,대구시 동구 안심로22길 40,053-962-7976,053-965-7670,15,13,3
212,대구,동구,사회복지법인 한사랑,마실주간보호센터,대구광역시 동구 율하동로28길 30-1,053-710-5570,053-710-5571,15,13,4
213,대구,동구,장애인지역공동체,여기서 함께 센터,대구광역시 동구 동내로 21 SH빌딩 2층,053-217-9460,053-217-9461,15,10,5
214,대구,동구,청암재단,청암 낮생활지원센터,"대구광역시 동구 반야월로 271-47 1,2층",053-965-0724,053-965-0722,12,9,7
215,대구,서구,대구광역시장애인재활협회,서구장애인주간보호센터,대구 달서로 27길 5 ,053-561-8166,053-262-8166,15,15,3
216,대구,서구,예천연꽃마을,서대구주간보호센터,"대구 서구 통학로 175-6, 3층",053-521-8808,053-562-9933,15,15,3
217,대구,서구,대구지적발달장애인복지협회,은동이장애인주간보호센터,대구 서구 국채보상로 56길 7,053-524-9977,053-524-9978,15,16,4
218,대구,남구,더불어복지재단,더불어남구장애인주간보호,대구광역시 남구 명덕로14길 68,053-651-4867,053-651-4869,21,21,4
219,대구,남구,대구광역시장애인부모회,남구장애인주간보호센터,대구광역시남구양지로65,053-621-2613,053-621-0086,12,10,3
220,대구,남구,밀알공동체,밀알장애인주간보호센터,대구광역시 남구 성당로 60길 15,053-623-0675,053-623-0674,15,15,4
221,대구,남구,꿈터사람들,꿈터장애인주간보호센터,대구시 남구 현충로 19길 29,053-623-8200,053-626-8201,9,9,3
222,대구,남구,보경복지재단,보경주간보호센터,대구광역시 남구 대봉로 109,053-218-4172,053-218-4170,15,15,3
223,대구,남구,보경복지재단,대명주간보호센터,대구광역시 남구 현충로236- 동호빌딩4층,053-248-4172,053-247-4170,20,20,3
224,대구,남구,사단법인대구광역시시각장애인연합회,대구광역시시각장애인주간보호센터,"대구광역시 남구 현충로206, 4층 5층",053-428-4466,053-428-4467,50,49,5
225,대구,북구,상록뇌성마비복지회,상록주간보호센터,"대구 북구 산격로 31-1, 1층",053-249-0965,053-954-7917,15,11,3
226,대구,북구,해인복지재단,강북장애인주간보호센터,대구광역시 북구 구암로60길 46-17,053-311-3430,053-323-3431,20,11,3
227,대구,북구,대구희망복지재단,희망장애인주간보호센터,"대구광역시 북구 칠곡중앙대로 254,4층",053-214-8100,053-214-8111,20,17,3
228,대구,북구,대구생명의전화,보담장애인주간보호센터,대구 북구 연암로 183,053-384-9197,053-381-9198,15,15,3
229,대구,북구,대구시행복진흥사회서비스원,북구장애인주간보호센터,"대구광역시 북구 칠곡중앙대로 473, 3층",053-321-3650,070-4324-2298,20,15,3
230,대구,북구,대구광역시행복진흥사회서비스원,읍내장애인주간보호센터,"대구광역시 북구 칠곡중앙대로 450, 401호",053-314-7927,070-7209-7902,20,13,3
231,대구,북구,대구지적발달장애인복지협회,푸른교실장애인주간보호센터,"대구시 북구 한강로8길 19, 302호",053-421-1142,053-421-1145,15,13,3
232,대구,수성구,국제라이온스협회356-A(대구)지구,대구장애인종합복지관 부설 주간보호센터,대구광역시 수성구 파동로51길 26-17,053-763-1011,053-762-0040,15,13,3
233,대구,수성구,아시아복지재단,아시아재활교육센터,"대구 수성구 노변공원로 49-1, 3층",053-791-1121,053-793-9414,15,14,3
234,대구,수성구,사단법인 한국지적발달장애인복지협회,시지장애인주간보호센터,대구광역시 수성구 달구벌대로 650길 97-4 1층,053-795-7780,053-795-7781,16,16,4
235,대구,수성구,화니재단,화니장애인주간보호센터,대구광역시 수성구 달구벌대로511길 34,053-744-8532,053-745-8532,15,14,3
236,대구,수성구,늘푸른행복마을,범물장애인주간보호센터,대구광역시 수성구 범안로16길 41,053-782-5395,053-782-5396,20,18,6
237,대구,수성구,아시아복지재단,황금장애인주간보호센터,대구광역시 수성구 청수로 45길 41,053-762-1251,053-762-1252,18,16,3
238,대구,수성구,대구광역시지적장애인복지협회 달서구지부,한울장애인주간보호센터,대구광역시 수성구 들안로 150,053-742-3217,053-752-2272,20,18,4
239,대구,수성구,한국뇌성마비복지회 대구경북지회,수성장애인주간보호센터,대구시 수성구 만촌로41길 20-1,053-753-0086,053-753-0258,15,10,3
240,대구,달서구,전석복지제단,달서구성서장애인주간보호센터,대구광역시 달서구 신당로 56(3층),053-583-1844,070-7893-6899,15,15,3
241,대구,달서구,대구지적발달장애인복지협회 달서구지부,예은장애인주간보호센터,대구광역시 달서구 월배로 68안길 7,053-526-9913,053-655-5808,15,15,4
242,대구,달서구,대구희망복지재단,나누리장애인주간보호센터,대구광역시 달서구 성서로72길 53-8,053-582-0130,053-582-0139,16,15,4
243,대구,달서구,대구가톨릭사회복지회,달서구상인장애인주간보호센터,대구광역시 달서구 상화로 371 지하1층,053-641-1153,053-641-1158,15,14,3
244,대구,달서구,창도복지재단,마루주간보호센터,대구광역시 달서구 대명천로16길 33,053-655-1578,,12,11,3
245,대구,달서구,대구지적발달장애인복지협회,백향목장애인주간보호센터,대구광역시 달서구 월배로85길 23,053-651-0191,053-651-0192,15,15,3
246,대구,달서구,대구광역시장애인재활협회,달서구장애인주간단기보호센터,대구광역시 달서구 야외음악당로47길 146,053-628-2562,053-214-2562,12,12,3
247,대구,달서구,한국지체장애인협회 대구광역시협회,대구광역시달구벌종합복지관 부설 주간보호센터,대구광역시 달서구 달구벌대로 291길 100 (용산동),053-527-0223,053-527-0229,12,12,3
248,대구,달서구,대구광역시시각장애인연합회,대구시각장애인복지관 주간보호센터,대구광역시 달서구 달구벌대로 291길 100(용산동),053-526-9988,053-568-9001,15,15,3
249,대구,달서구,한국농아인협회,대구광역시청각언어장애인복지관 부설 주간보호센터,대구광역시 달서구 달구벌대로 291길 100(용산동),053-527-0350,053-527-0353,15,15,3
250,대구,달성군,한국지체장애인협회 대구달성군지회,달성군장애인복지관 부설 주간보호센터,대구시 달성군 논공읍 논공로 242,070-8686-0280,053-616-0263,20,20,5
251,대구,달성군,덕수복지재단,사랑마을,대구 달성군 다사읍 달구벌대로126길 14-14,053-593-2088,053-593-2086,20,19,7
252,대구,달성군,한국지적발달장애인복지협회,금동원주간보호센터,대구시 달성군 화원읍 비슬로 528길 4,053-644-2356,053-644-2357,15,14,3
253,인천,강화군,대한불교조계종사회복지재단,강화군장애인복지관주간보호시설,인천광역시 강화군 강화읍 충렬사로63,032-934-8464,032-934-8082,15,14,4
254,인천,강화군,대한성공회서울교구,마리아장애인주간보호센터,인천광역시 강화군 길상면 해란길61,032-937-9075,032-937-9078,15,12,5
255,인천,중구,사회복지법인 미선,중구장애인주간보호센터,인천광역시 중구 매소홀로 10 1층,032-880-2471,032-891-0533,12,12,5
256,인천,중구,인천장애인부모회중구지부,영종장애인주간보호센터,인천광역시 중구 영종해안북로1000-26- 2층(하늘문화센터 복지동),032-747-0421,070-4101-0422,16,16,5
257,인천,중구,한국지적장애인복지협회 인천 중구지부,무지개주간보호센터,인천광역시 중구 우현로 62번길 38-3,032-762-3340,032-762-3305,16,11,4
258,인천,동구,한원복지재단,동구장애인주간보호센터,인천광역시 동구 만석로 53,032-724-9501,032-724-9570,12,11,5
259,인천,미추홀구,대한성공회유지재단,인천미추홀장애인종합복지관주간보호센터,인천광역시 미추홀구 경원대로 714,032-426-1382,032-426-1386,12,12,4
260,인천,미추홀구,인천광역시시각장애인복지연합회,인천광역시시각장애인주간보호센터,인천광역시 미추홀구 한나루로 357번길 105-19,032-876-3500,032-876-6633,15,15,4
261,인천,미추홀구,대한불교조계종사회복지재단,미추홀장애주간보호센터,인천광역시 미추홀구 염창로97,070-5020-5827,050-7711-9372,15,10,3
262,인천,미추홀구,함께 걷는 길벗회,징검다리주간보호센터 ,인천광역시 미추홀구 석정로 102번길 11,032-886-6674,032-886-6683,20,16,6
263,인천,미추홀구,한국신장장애인협회 인천협회,인천신장장애인주간보호센터,"인천광역시 미추홀구 미추홀대로716,207(메인프라자)",032-868-8806,032-874-8806,15,15,3
264,인천,미추홀구,기독교국제선교협회,늘푸른샘(장애인주간보호시설),인천광역시 미추홀구 인하로405번길 7(관교동),032-427-6929,032-425-6996,20,20,6
265,인천,미추홀구,동그라미,미추홀동그라미주간보호센터,"인천광역시 미추홀구 석정로 375번길23, 104호",032-876-7179,032-876-7178,12,10,4
266,인천,연수구,한울정신건강복지재단,해내기주간보호센터,인천광역시 연수구 앵고개로 130,070-8970-7073,032-831-2292,15,12,6
267,인천,연수구,인천장애인부모회,연수허브주간보호센터,인천광역시 연수구 선학로 14 선학아파트 단지 내,032-817-2091,032-224-2094,16,14,6
268,인천,연수구,인천장애인부모회,사랑나눔주간보호센터,인천광역시 연수구 선학로 14 시영아파트 정문상가 2층,032-818-2095,032-818-2085,15,9,4
269,인천,연수구,사회복지법인 미선,연수구장애인주간보호센터,인천광역시 연수구 청량로185번길 31 2층,032-749-6892,032-831-6897,24,23,7
270,인천,남동구,사회복지법인 인천가톨릭사회복지회,늘푸른동산,"인천광역시 남동구 담방서로 23번길 17, 3층",032-472-4031,032-472-4032,16,16,6
271,인천,남동구,사단법인 인천광역시장애인부모회,하늘고운주간보호센터,"인천광역시 남동구 경인로744(간석동, 한호빌딩)",032-508-2097,032-508-2098,12,11,4
272,인천,남동구,사회복지법인 신성재단,바다의 별,인천광역시 남동구 남촌동로16번길 15-12,032-468-4647,032-468-4648,12,12,5
273,인천,남동구,사회복지법인 신성재단,샛별장애인주간보호센터,인천광역시 남동구 남촌동로3번길14 소민빌딩3층,032-435-1147,032-435-1148,12,12,5
274,인천,남동구,사회적협동조합 동그라미,동그라미발달장애인주간보호센터,인천광역시 남동구 인주대로 819 문화빌딩 201호,032-464-7179,032-464-7178,12,12,5
275,인천,남동구,민달팽이 사회적협동조합,민달팽이 장애인주간보호센터,"인천광역시 남동구 만수서로 37번길 55, 하영빌딩 2층",032-472-0123,032-472-0021,16,16,5
276,인천,부평구,성원,성동주간보호센터,인천광역시 부평구 경인로 880,032-514-5600,032-514-5601,21,16,5
277,인천,부평구,인천광역시지적발달장애인복지협회,해늘주간보호센터,"인천광역시 부평구 화랑북로 35-4, 2층",032-506-6596,032-506-6597,16,12,4
278,인천,부평구,송암복지재단,부평장애인종합복지관 주간보호센터,인천광역시 부평구 일신로 25,032-512-9863,032-719-7863,15,10,4
279,인천,부평구,한국장애인부모회 인천지회,아카펠라주간보호센터,인천광역시 부평구 평천로 319-5 대진빌딩(현-에바다빌딩) 2층,032-517-0630,032-517-0632,15,12,5
280,인천,부평구,한국장애인부모회 인천지회,혜인주간보호센터,"인천광역시 부평구 마장로 24, 만월빌딩 3층",032-330-1307,032-330-1308,15,14,4
281,인천,부평구,사회복지법인 베데스다,부흥장애인주간보호센터,"인천광역시 부평구 부흥로334번길 37, 3층",070-7562-9125,032-232-8121,15,5,4
282,인천,부평구,주안복지재단,나래장애인주간보호센터,"인천광역시 부평구 부영로 161, 주안빌딩 501호",032-513-9300,032-513-9301,20,19,7
283,인천,부평구,한국장애인부모회 인천지회,꿈이룸주간보호센터,"인천광역시 부평구 안남로 62, 해담 3층",032-508-6974,032-508-6975,15,12,5
284,인천,계양구,노틀담수녀회,노틀담주간보호시설,인천광역시 계양구 계양산로 35번길12-37(계산2동 40번지),032-540-8916,032-541-7377,14,9,4
285,인천,계양구,노틀담수녀회,노틀담성인주간보호센터,인천광역시 계양구 계양산로 35번길12-37(계산2동 40번지),032-540-8974,032-541-7377,16,12,4
286,인천,계양구,한국장애인부모회(계양지부),사랑터장애인주간보호센터,"인천광역시 계양구 장제로708, 5층 509호(작전동, 한샘프라자)",032-546-4800,032-546-3200,16,15,6
287,인천,계양구,전국장애인부모연대 (인천지부),해도두리주간보호센터,"인천광역시 계양구 장제로708, 4층 401호(작전동, 한샘프라자)",032-542-1287,032-543-1289,12,12,5
288,인천,계양구,예원,예원주간보호센터,"인천광역시 계양구 효서로 92, 1층(효성동)",032-553-1220,032-553-1223,16,10,6
289,인천,계양구,한국장애인부모회(계양지부),더행복한장애인주간보호센터,"인천광역시 계양구 아나지로 198번길 10,302호(효성동,골드프라자)",070-4111-7393,032-541-7392,12,12,5
290,인천,서구,기독교대한감리회 사회복지재단,서구장애인주간보호센터,인천광역시 서구 드림로 284-8(백석동),032-569-1244,032-569-1243,15,12,4
291,인천,서구,한원복지재단,느티나무장애인주간보호센터,인천광역시 서구 심곡로100번길 8-11(심곡동),070-8633-8246,070-7500-0601,20,18,7
292,인천,서구,감리회 태화복지재단,태화인천장애인주간보호센터,인천광역시 서구 심곡로124번길 10(심곡동),032-568-3247,032-568-3271,20,12,5
293,인천,서구,인쳔광역시 중증장애인복지진흥회,해피로드장애인주간보호센터,"인천광역시 서구 가정로125번길 12, 2층(가좌동)",032-574-7041,032-574-1845,16,14,5
294,인천,서구,전국장애인부모연대,구립 서로이음장애인주간보호센터,"인천광역시 서구 완정로 153, 401호(왕길동)",032-567-2365,032-560-2360,12,11,5
295,광주,동구,개인,광주어울림장애인주간보호센터,"광주광역시 동구 백서로 116, 4층(학동, 광주어울림장애인주간보호센터)",062-222-9006,062-223-9005,28,14,5
296,광주,동구,영화복지회,영화장애인주간보호센터,광주광역시 동구 소태길 57-3,062-431-6898,062-234-6897,18,16,5
297,광주,동구,풍경복지장애인인권협회,풍경장애인주간보호센터,광주광역시 동구 경양로259번길 21,062-222-7796,062-228-8834,13,13,4
298,광주,서구,광주행복장애인복지회,광주서구주간보호센터,"광주광역시 서구 화정로 309번길 23-6, 2층",062-352-7113,062-351-7113,12,12,4
299,광주,서구,광주장애인가족복지회,사랑모아주간보호센터,광주광역시 서구 운천로154번길 30-11,062-385-0422,062-382-0422,21,21,6
300,광주,서구,광주광역시지적발달장애인복지협회서구지부,행복주간보호센터,"광주광역시 서구 화정로 309번길 23-6, 1층",062-369-8568,062-373-8568,12,12,4
301,광주,서구,개인,이룸주간보호센터,광주광역시 서구 대남대로472번길 8,062-681-7576,062-682-7576,20,14,4
302,광주,서구,한국장애인부모회 광주광역시지회,나래주간보호센터,광주광역시 서구 구성로19번길 7-4 401호,062-376-9682,062-376-9681,24,15,5
303,광주,서구,광주희망장애인복지회,희망의집 주간보호센터,광주광역시 서구 화운로99번길 15,062-381-5515,062-381-5516,17,15,5
304,광주,서구,사단법인 빛날장애인협회,빛날장애인주간보호센터,광주서구상무대로868번길17-18,062-382-5250,062-682-5255,18,16,5
305,광주,서구,일촌공동체,차오름주간보호센터,광주광역시 서구 상무대로 1224번길 7,062-653-7310,062-653-7311,25,20,6
306,광주,남구,개인,희망찬장애인주간보호센터,"광주광역시 남구 효우2로 26번길 18, 3층 효천타워 301호",062-674-0015,062-674-0017,16,13,4
307,광주,남구,광주지적발달장애인복지협회,광주광역시발달장애인주간보호시설,광주광역시 남구 석교안길 14,062-655-8568,062-457-8568,17,17,5
308,광주,남구,실로암사람들,라브리주간보호센터,광주광역시 남구 봉선로79번길4-1,062-681-6623,062-651-7782,18,17,5
309,광주,남구,개인,라온장애인주간보호센터,"광주광역시 남구 효우로81, 3층 302호",062-682-3454,062-682-3455,21,13,4
310,광주,남구,개인,마루한장애인주간보호센터,"광주광역시 남구 노대실로 48, 303호(노대동, 마치빌딩)",062-674-8640,062-674-8641,20,12,4
311,광주,남구,무지개공동회,엠마우스주간보호센터,광주광역시 남구 군분로 77번안길 28,062-364-7236,062-434-7238,17,17,5
312,광주,남구,개인,푸른동산장애인주간보호센터,광주광역시 남구 제중로 39-5,062-412-9886,062-413-9886,21,21,6
313,광주,남구,개인,혜송주간보호센터,"광주광역시 남구 치마봉길 22, 1층(방림동)",062-675-0788,062-675-0789,18,16,6
314,광주,북구,씨튼수녀회사회복지원,씨튼장애인주간보호센터 데레사의 집,광주광역시 북구 앰코로 123번지,062-973-1161,062-973-1171,30,29,7
315,광주,북구,광주북구장애인복지회,초록장애인주간보호센터,광주 북구 동문대로 238-2,062-251-5988,062-251-5987,17,16,5
316,광주,북구,한국신장장애인협회광주협회,신장장애인주간주간보호센터,"광주광역시 북구 북문대로 27, 5층",062-524-1222,062-233-1222,18,18,3
317,광주,북구,한국장애인문화광주광역시협회,푸른하늘장애인주간보호센터,광주광역시 북구 중가로 51번길 8,062-512-8838,062-513-8838,20,12,4
318,광주,북구,광주지적발달장애인복지협회북구지부,북구장애인다원주간보호시설,광주광역시 북구 군왕로 38-1,062-261-8568,062-265-8568,20,19,6
319,광주,북구,개인,느티나무주간보호센터,"광주광역시 북구 서하로 380, 7층",062-266-4770,062-266-4771,18,17,5
320,광주,북구,개인,동그라미장애인주간보호센터,광주광역시 북구 서암대로 6번길 8,062-513-8246,062-513-8245,20,17,5
321,광주,북구,개인,샛별주간보호센터,"광주광역시 북구 첨단연신로91번길38, 301-1호",062-572-2408,062-572-2409,18,14,4
322,광주,북구,개인,한빛주간보호센터,"광주광역시 북구 어매마을길 32-4, 1층",062-463-0043,062-463-0046,15,10,3
323,광주,광산구,사회복지법인 혜화복지재단,혜화주간보호센터,광주광역시 광산구 용보로 27번길 55,062-942-0214,062-942-0215,26,16,5
324,광주,광산구,개인,솟대장애인주간보호센터,광주광역시 광산구 첨단중앙로 106번길 50 리치빌딩 3층,062-974-2377,062-971-2377,20,14,4
325,광주,광산구,빛고운재활공동체,빛고운장애인주간보호센터,광주광역시 광산구 송도로226번길 29,062-943-4567,062-945-6603,20,19,5
326,광주,광산구,광주지적발달장애인복지협회광산구지부,다솜장애인주간보호센터,광주광역시 광산구 송도로284번길 41-2(송정동),062-945-8569,062-945-8599,17,17,5
327,광주,광산구,스스로 나눔복지,하람장애인주간보호센터,"광주광역시 광산구 첨단중앙로124번길 54, 4층",062-974-2512,062-974-2514,20,16,5
328,광주,광산구,개인,은가비장애인주간보호센터,광주광역시 광산구 송정공원로 17,062-945-9222,062-945-9223,16,14,5
329,광주,광산구,사단법인 사과나무,나눔장애인주간보호센터,"광주광역시 광산구 하남울로공원1길9, 3층",062-714-1529,062-714-1528,22,14,4
330,광주,광산구,개인,담터장애인주간보호센터,"광주광역시 광산구 월계로 203, 3층",062-971-3400,062-973-3401,20,12,4
331,광주,광산구,개인,참조은장애인주간보호센터,광주광역시 광산구 수등로 211 1층,062-962-7094,062-962-7093,20,16,5
332,광주,광산구,개인,한울장애인주간보호센터,광주광역시 광산구 앰코로35 315호,062-944-1119,062-972-1120,13,13,3
333,광주,광산구,개인,행복장애인주간보호센터,광주광역시 광산구 신가매결길 76,062-959-2006,062-959-2022,12,7,3
334,대전,동구,사회복지법인밀알,명은주간보호센터,"대전광역시 동구 우암로 48, 2층",042-632-7338,042-621-9801,15,8,6
335,대전,동구,한국생명의전화대전지부,생명장애인주간보호센터,"대전광역시 동구 동부로 56-7, 2층",042-286-9190,042-286-9194,15,11,6
336,대전,동구,평화의마을,파랑새장애인주간보호센터,"대전광역시 동구 백룡로 48번길 79, 2층",070-8613-8336,042-635-6010,25,25,10
337,대전,동구,개인,꿈이있는장애인주간보호센터,대전광역시 동구 대전천동로 414,070-4245-8046,0505-284-1234,15,15,4
338,대전,동구,사회복지법인 밀알,판암장애인주간보호센터,대전광역시 동구 동부로 56-34,042-285-0028,042-285-0027,15,10,6
339,대전,동구,개인,초록나무장애인주간보호센터,대전광역시 동구 동서대로1778번길 115,042-383-7072,042-626-7073,15,14,6
340,대전,동구,개인,한울장애인주간보호센터,대전광역시 동구 가양로 72,042-626-2374,042-627-2374,20,13,5
341,대전,동구,개인,기쁜우리장애인주간보호센터,대전광역시 동구 홍도로 5-14,042-524-0591,042-627-0591,15,14,8
342,대전,동구,개인,두손장애인주간보호센터,대전광역시 동구 산내로 1315번길 5-6,042-283-2223,042-283-2224,15,14,4
343,대전,동구,명희복지재단,대전주간보호센터,대전광역시 동구 소랑길 10,042-632-0691,042-716-0991,12,12,7
344,대전,동구,개인,동그라미주간보호,대전광역시 동구 산내로 495,042-272-0508,042-272-0507,15,12,7
345,대전,중구,샤론원,샤론원장애인주간보호센터,대전광역시 중구 대둔산로494번길 24(산성동),042-585-9525,042-585-9523,15,10,5
346,대전,중구,밀알선교단,밀알주간보호센터,대전광역시 중구 뿌리공원로7번길 54(안영동),042-242-0813,042-242-0817,25,25,10
347,대전,중구,감리회 태화복지재단,대전태화주간보호센터,대전광역시 중구 보문산로333번길 29(문화동),042-586-1507,042-586-1509,12,12,3
348,대전,중구,대전시각장애인연합회,산성종합복지관주간보호센터,대전광역시 중구 유등천동로 232(산성동),042-586-8035,042-586-8037,15,14,3
349,대전,중구,개인,쉴만한물가,대전광역시 중구 부용로72번길 1(부사동),042-221-8005,042-257-8009,15,16,5
350,대전,중구,개인,시온마을장애인주간보호센터,"대전광역시 중구 모암로 59, 1층(옥계동)",042-273-9423,042-273-9422,15,11,4
351,대전,중구,개인,나사렛장애인주간보호센터,"대전광역시 중구 돌다리로 36, 3층 (석교동)",042-273-8135,042-273-8136,10,7,3
352,대전,중구,희망복지플러스사회적협동조합,희망복지여성장애인주간보호센터,"대전광역시 중구 대둔산로466번길 34, 1층(산성동)",070-8804-7600,042-585-5007,8,4,3
353,대전,중구,라움사회적협동조합,산들주간보호센터,"대전광역시 중구 목중로 80, 202호(중촌동, 동서빌딩)",042-710-2255,0303-3441-2255,10,4,2
354,대전,서구,대전장애인부모회,도토리주간보호센터,대전광역시 서구 갈마로212번길 20-5 (내동),042-533-9457,042-535-9457,10,10,5
355,대전,서구,사회복지법인 성애원,관저장애인주간보호센터,대전광역시 서구 구봉로 13 (관저동),042-545-6813,042-545-6816,15,13,4
356,대전,서구,재단법인 대한예수교장로회대전노회유지재단,정림발달장애인주간보호센터,대전광역시 서구 계백로1286번길 86 (정림동),042-584-4450,042-584-4457,15,12,4
357,대전,서구,재단법인 대한예수교장로회대전노회유지재단,월평발달장애인주간보호센터,대전광역시 서구 월평북로 11 (월평동),042-488-5166,042-489-5166,15,13,5
358,대전,서구,사회복지법인 아회,아회장애인주간보호센터,대전광역시 서구 갈마로211번길 24 (괴정동),042-538-1177,042-538-1178,15,11,5
359,대전,서구,개인,라파주간보호센터,대전광역시 서구 정림서로 134-15 (정림동),042-482-9301,042-534-9301,15,13,5
360,대전,서구,사회복지법인 누리봄,헬로 장애인주간보호센터,"대전광역시 서구 도솔로 151, 2층(도마동)",070-4422-7001,042-531-7003,10,8,3
361,대전,서구,개인,단비주간보호센터,대전광역시 서구 도산로 470(용문동),042-536-1771,042-536-1881,15,13,6
362,대전,서구,개인,힘찬장애인주간보호센터,대전광역시 서구 유등로43번길 6-9 (복수동),042-585-0101,042-585-0102,10,8,3
363,대전,서구,개인,늘사랑특수교육장애인주간보호센터,대전광역시 서구 대신1길48(도마동),042-369-0322,042-368-0322,10,9,3
364,대전,서구,개인,소담누리장애인주간보호센터,"대전광역시 서구 도안동로 6, 402호(도안동)",070-7620-5362,070-7620-5363,10,10,3
365,대전,서구,전국장애인부모연대,나비장애인주간보호센터,"대전광역시 서구 도솔로 193, 2층 (도마동)",042-523-0420,042-522-0420,10,10,3
366,대전,유성구,사회복지법인 성재원,대전광역시립장애인종합복지관 성인주간보호센터,대전광역시 유성구 유성대로 2968번길 175,042-540-3590,042-540-3599,15,11,3
367,대전,유성구,한국지체장애인협회,유성구장애인종합복지관주간보호,대전광역시 유성구 북유성대로 166,042-820-3637,042-820-3635,15,12,3
368,대전,유성구,푸른초장,이삭주간보호센터,대전광역시 유성구 학하복용서로19,042-867-3692,042-867-3694,15,15,6
