,소재지전화,소재지전체주소,사업장명,좌표정보(x),좌표정보(y),이용자 정원,이용자 현원,종사자 정원,이용률
198,061-862-4000,전라남도 장흥군 장흥읍 건산리 752-1,장애인협회,34.6769995395259,126.907061729395,20,16,4,80.0
199,031-235-2104,경기도 수원시 권선구 입북동 156-5,경기도장애인재활협회,37.2981120094285,126.958621957429,15,11,3,73.33
200,---,경기도 수원시 권선구 오목천동 667,경기도장애인복지관,37.2364017462783,126.972600659319,20,11,3,55.0
201,064-756-4980,제주특별자치도 제주시 삼도일동 305-8 (소용천1로55),제주도지체장애인협회,33.5040124036246,126.522588460938,12,12,3,100.0
202,033-440-2571,강원특별자치도 화천군 화천읍 아리 239,사단법인 화천군장애인연합회,38.1060299207264,127.708084008425,15,15,3,100.0
203,033-440-2571,강원특별자치도 화천군 화천읍 아리 239,사단법인 화천군장애인연합회,38.1060299207264,127.708084008425,15,14,3,93.33
204,033-441-7301,강원특별자치도 화천군 하남면 원천리 444-2,화천군장애인연합,38.0587259878049,127.667753918578,15,12,3,80.0
205,---,강원특별자치도 화천군 화천읍 하리 84-1 문화예술회관,화천군장애인연합,38.1086810678848,127.704729377871,12,12,3,100.0
206,---,강원특별자치도 화천군 하남면 위라리 490 화천종합사회복지관,화천군장애인연합,38.0978749113908,127.704351178596,21,21,4,100.0
207,---,강원특별자치도 화천군 하남면 위라리 518-2 생활체육공원,화천군장애인연합,38.0960972698565,127.700340126719,25,25,5,100.0
208,---,강원특별자치도 화천군 화천읍 중리 244-32 화천정보산업고등학교앞  공원,화천군장애인연합,38.1075599718471,127.708940799023,20,21,4,105.0
209,033-441-2190,강원특별자치도 화천군 화천읍 하리 165 (붕어섬),화천군장애인연합,38.097154935939,127.693716578505,20,20,4,100.0
210,033-442-2190,강원특별자치도 화천군 화천읍 하리 165 (붕어섬),화천군장애인협회,38.097154935939,127.693716578505,15,13,3,86.67
211,---,강원특별자치도 원주시 우산동 796-1,강원도신체장애인복지회,37.3753501804274,127.944865084607,15,13,4,86.67
212,---,광주광역시 서구 치평동 1200 (광주광역시청),새광주장애인총연합회,35.159715403281,126.851512233363,15,10,5,66.67
213,042-611-6188,대전광역시 서구 둔산동 1300 서구청,대전시지체장애인협회서구지회,36.3550707827714,127.38380833742,12,9,7,75.0
214,061-755-0034,전라남도 순천시 서면 동산리 381,장애인협회복지관,35.0058512540694,127.479266359896,15,15,3,100.0
215,061-755-0034,전라남도 순천시 해룡면 월전리 9-1 농산물도매시장1층,(사)순천장애인협회,34.9165626424259,127.536927596238,15,15,3,100.0
216,061-755-0034,전라남도 순천시 서면 동산리 381 (1층),순천지체장애인협회,35.0058512540694,127.479266359896,15,16,4,106.67
217,---,전라남도 장성군 장성읍 기산리 388,장애인협회,35.3030343747118,126.767014611623,21,21,4,100.0
218,061-392-8148,전라남도 장성군 장성읍 기산리 388,장애인협회,35.3030343747118,126.767014611623,12,10,3,83.33
219,---,전라남도 목포시 산정동 1749,장애자복지회관내,34.8098292281532,126.37509969316,15,15,4,100.0
220,---,전라남도 목포시 산정동 1749,장애자복지회관,34.8098292281532,126.37509969316,9,9,3,100.0
221,031-353-9082,경기도 화성시 남양읍 남양리 2000 화성시청 민원동,화성시신체장애인복지회,37.199037410725,126.830985553261,15,15,3,100.0
222,---,경기도 화성시 진안동 526-2 (동부출장소3층 회의실 입구),장애인자립원,37.2087263020687,127.035874730328,20,20,3,100.0
223,042-484-2633,대전광역시 서구 갈마동 820-1 국민생활관,사)대전교통장애인재활협회,36.356020244175,127.372682090023,50,49,5,98.0
224,042-625-4678,대전광역시 서구 둔산동 1420,장애인연합회(대전광역시청),36.3501712979595,127.384838607761,15,11,3,73.33
225,-977-7015,서울특별시 노원구 중계동 514-3,장애인협회,37.6465086782159,127.069010139994,20,11,3,55.0
226,---,서울특별시 노원구 상계동 323-4,장애숙산부인과,37.6555355451323,127.064535920085,20,17,3,85.0
227,02-306-6212,서울특별시 마포구 성산동 595-1,마포장애인종합복지관,37.5654460173483,126.900788156374,15,15,3,100.0
228,---,경상북도 포항시 북구 우현동 51,교통장애인협회포항지회,36.0543565980313,129.363448865853,20,15,3,75.0
229,053-527-0350,대구광역시 달서구 용산동 230-17,대구청각언어장애인복지관,35.8533792643338,128.52521745672,20,13,3,65.0
230,-662-2755,경기도 부천시 오정구 작동 57,장애인복지회관,37.5176336775172,126.813773673587,15,13,3,86.67
231,-675-9901,경기도 부천시 오정구 작동 57,부천시장애인종합복지관리,37.5176336775172,126.813773673587,15,13,3,86.67
232,-672-0997,경기도 부천시 원미구 원미동 87-2,부천시지체장애인협회,37.4957635575423,126.786975065083,15,14,3,93.33
233,031-731-3401,"경기도 성남시 분당구 판교동 553 판교도서관 1층, 3층 2대",성남장애인나눔협동조합,37.3958405242262,127.090762386123,16,16,4,100.0
234,---,서울특별시 도봉구 창동 1-6,도봉구장애인연합회,37.6581769374909,127.050740048687,15,14,3,93.33
235,-948-4121,서울특별시 노원구 하계동 252 노원자동차검사소,노원구장애인자립작업장,37.6373210162484,127.071672061323,20,18,6,90.0
236,02-950-0114,서울특별시 노원구 상계동 771-0,서울시립노원시각장애인복지관,37.6423382464089,127.056760387599,18,16,3,88.89
237,02-880-0511,서울특별시 관악구 봉천동 931-7,실로암시각장애복지관,37.4830215057072,126.941151533848,20,18,4,90.0
238,---,서울특별시 강동구 고덕동 317-24,서울장애인종합복지관리포츠센터,37.5555417434444,127.148352083585,15,10,3,66.67
239,---,서울특별시 강동구 고덕동 317-24,서울장애인종합복지관,37.5555417434444,127.148352083585,15,15,3,100.0
240,022-662-7878,서울특별시 강서구 방화동 829-7,장애인취업정보센타옆,37.5784575745181,126.812682666791,15,15,4,100.0
241,---,서울특별시 강서구 외발산동 424,강서장애인자립작업장,37.5528925847917,126.818755736157,16,15,4,93.75
242,---,서울특별시 강서구 외발산동 424-0 (1대),강서지체장애인협회,37.5528925847917,126.818755736157,15,14,3,93.33
243,---,인천광역시 남동구 남촌동 354-1 동사무소1층,장애인남촌동지회(염쌍룡),37.4322354094887,126.715176775288,12,11,3,91.67
244,053-255-8166,대구광역시 중구 남산동 2482-0001,(사) 대구광역시장애인재활협회,35.8597934648034,128.579875261217,15,15,3,100.0
245,053-255-8166,대구광역시 중구 동인동1가 0002-0001 1층,(사)대구광역시장애인재활협회,35.8714765615313,128.601537835487,12,12,3,100.0
246,031-399-1905,경기도 군포시 금정동 844-1 군포시장애인복지관 1층,군포시장애인보호작업장,37.3630843428872,126.934169426427,12,12,3,100.0
247,5-02--9450,경기도 과천시 중앙동 1-3 구내식당,장애인협회,37.4293714432917,126.98746472999,15,15,3,100.0
248,---,경기도 과천시 중앙동 6-2 시민회관 대강당앞,시민회관장애인자판기,37.427986163496,126.989679166667,15,15,3,100.0
249,---,경기도 과천시 막계동 159-1 서울대공원,"서울대공원 원외자판기(장애인주차장,정보나라)",37.4359636282904,127.01422844251,20,20,5,100.0
250,5-02--9410,경기도 과천시 부림동 45 보훈회관입구,지체장애인협회 과천시지회,37.4340354814793,126.99794380252,20,19,7,95.0
251,---,"경기도 과천시 중앙동 1-3 시청민원실,대강당","과천장애인협회(시청민원실,대강당)",37.4293714432917,126.98746472999,15,14,3,93.33
252,02-502-9410,"경기도 과천시 중앙동 6-2 시민회관(빙상장,체육관, 세미나실)",과천시지체장애인협회,37.427986163496,126.989679166667,15,14,4,93.33
253,031-431-9114,경기도 시흥시 정왕동 1800-9,시흥장애인종합복지관,37.3476182626829,126.741126628103,15,12,5,80.0
254,---,서울특별시 도봉구 쌍문동 565 도봉보건소,도봉구장애인단체연합회,37.657978750864,127.038791771475,12,12,5,100.0
255,020-000-0000,서울특별시 강동구 고덕동 317-24,서울 장애인 종합복지관(리포츠 센타),37.5555417434444,127.148352083585,16,16,5,100.0
256,---,서울특별시 도봉구 쌍문동 565 도봉보건소,도봉구장애인단체연합회,37.657978750864,127.038791771475,16,11,4,68.75
257,043-273-6848,충청북도 청주시 서원구 사직동 888 서원구청,지체장애인협회,36.6372438850189,127.469862334963,12,11,5,91.67
258,043-272-9720,충청북도 청주시 상당구 남문로2가 92-6,충청북도장애인재활협회,36.6326685727869,127.488153758872,12,12,4,100.0
259,---,광주광역시 동구 서석동 21-41,동구장애인복지센터,35.1454601267127,126.92560536988,15,15,4,100.0
260,053-583-1289,대구광역시 달서구 이곡동 535-4,성서장애인재활복지센타,35.8526121062926,128.502023178427,15,10,3,66.67
261,051-724-2755,부산광역시 기장군 기장읍 대라리 422-3,기장애견의집,35.2425688175405,129.214772467174,20,16,6,80.0
262,051-724-1950,부산광역시 기장군 기장읍 대라리 35-13,기장애견,35.2431377560961,129.217263113059,15,15,3,100.0
263,054-789-6324,경상북도 울진군 울진읍 읍내리 464 울진군청,울진군장애인종합복지관,36.9930931267574,129.400635331202,20,20,6,100.0
264,0540-000-0000,경상북도 구미시 남통동 247,장애자복지센타자동판매기,36.1142379754369,128.314652761229,12,10,4,83.33
265,054-858-7283,경상북도 안동시 북후면 도촌리 846-1,장애인종합복지관식당내,36.6571294532308,128.681931653208,15,12,6,80.0
266,053-811-5444,경상북도 경산시 서상동 18-2 구.경산경찰서 내,시각장애인나눔의집설립단,35.8195646256962,128.734117870938,16,14,6,87.5
267,031-555-0044,경기도 구리시 교문동 산 34-4,경기도지체장애인협회 구리시지회,37.5997492633657,127.116189530122,15,9,4,60.0
268,051-524-0540,부산광역시 동래구 명장동 25-49,명장애견,35.204342276788,129.099090213924,24,23,7,95.83
269,2-48--2353,경상남도 창원시 마산회원구 회원동 564 (설치대수:1대),한국신체장애인의료용품복지,35.2178643459361,128.56501606012,16,16,6,100.0
270,-266-8979,경상남도 창원시 마산합포구 신월동 29-161 마산시장애인복지회관,마산장애인복지관,35.1944440398593,128.558650416403,12,11,4,91.67
271,055-543-7989,경상남도 창원시 진해구 덕산동 533,(사)경남지체장애인연합회진해지회,35.1431186750986,128.694006026172,12,12,5,100.0
272,055-543-7989,경상남도 창원시 진해구 경화동 850-3,사)경남지체장애인연합회진해지회,35.1591972778157,128.687304839978,12,12,5,100.0
273,055-545-2016,경상남도 창원시 진해구 태백동 98,장애인자립의집,35.1691838915938,128.659635914196,12,12,5,100.0
274,---,인천광역시 부평구 십정동 186-454 부평도서관,사)인천지체장애인협회,37.4850317722238,126.704788252706,16,16,5,100.0
275,032-568-2666,인천광역시 부평구 부평동 880,장애인복지회,37.5064781737563,126.724206956094,21,16,5,76.19
276,---,충청남도 서산시 예천동 496-17,서산시장애인복지관자판기,36.7728019881583,126.445043288104,16,12,4,75.0
277,041-668-4744,충청남도 서산시 예천동 496-17,서산시장애인복지관,36.7728019881583,126.445043288104,15,10,4,66.67
278,043-848-6381,충청북도 충주시 호암동 751-7,충청북도장애인종합복지관,36.9498961603181,127.920921546035,15,12,5,80.0
279,043-423-1877,충청북도 단양군 단양읍 도전리 637,장애인자립장,36.9791534248728,128.36963875134,15,14,4,93.33
280,02-353-2578,경기도 고양시 덕양구 화정동 956 덕양구청,한국신체장애인복지회,37.6369440575358,126.833913327628,15,5,4,33.33
281,02-353-2578,경기도 고양시 덕양구 화정동 956 덕양구청,한국신체장애인복지회,37.6369440575358,126.833913327628,20,19,7,95.0
282,02-353-2578,경기도 고양시 덕양구 화정동 956 덕양구청,한국신체장애인복지회,37.6369440575358,126.833913327628,15,12,5,80.0
283,02-353-2578,경기도 고양시 덕양구 화정동 956 덕양구청,한국신체장애인복지회,37.6369440575358,126.833913327628,14,9,4,64.29
284,02-353-2578,경기도 고양시 덕양구 화정동 956 덕양구청,한국신체장애인복지회,37.6369440575358,126.833913327628,16,12,4,75.0
285,032-876-3500,인천광역시 미추홀구 학익동 709-1 시각장애인복지관,인천광역시시각장애인복지관,37.4381728437904,126.656042075444,16,15,6,93.75
286,---,서울특별시 노원구 상계동 759-1,서울지체장애인협회 노원구지회 중계1단지분회,37.6485598401698,127.064912659954,12,12,5,100.0
